                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8732,                 3.0536,                 1.7911,                0.49017,                0.27374,                0.24094,                0.09608,                 1.9997,                 2.7993,                 1.8557,               0.000331,               0.000331,               0.000331
                      2,                 1.7539,                 2.2227,                 1.7008,                0.59649,                0.42213,                0.36164,                0.14154,                 1.9724,                 2.4871,                 1.8787,             0.00065776,             0.00065776,             0.00065776
                      3,                 1.7344,                 2.1265,                 1.7056,                0.56906,                0.41337,                0.37109,                0.15215,                 1.9352,                 2.3465,                 1.8891,             0.00097792,             0.00097792,             0.00097792
                      4,                 1.6948,                 2.0293,                 1.6956,                0.66218,                0.40154,                0.40628,                0.16714,                 1.8926,                 2.1667,                 1.9001,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7137,                 2.0403,                 1.7038,                0.64726,                0.39568,                0.41665,                0.17401,                 1.9135,                 2.2751,                  1.895,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6242,                 1.9004,                 1.6245,                0.35203,                0.67699,                0.50968,                0.23068,                 1.8011,                  2.177,                 1.8549,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6222,                  1.882,                 1.6292,                0.48211,                0.44455,                0.48534,                0.21821,                 1.7927,                 2.0807,                 1.8389,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6058,                 1.8212,                 1.6135,                0.74983,                0.46049,                0.53617,                0.24013,                 1.7579,                 1.9057,                 1.8161,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5584,                 1.7948,                  1.587,                0.72308,                0.48699,                0.54086,                0.24867,                 1.7522,                 1.9375,                 1.7707,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5571,                 1.7539,                 1.5872,                0.74854,                0.46519,                0.55709,                0.26413,                 1.6776,                 1.8283,                 1.7589,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5684,                 1.7177,                 1.5959,                0.48629,                0.49499,                0.55381,                0.24915,                 1.7513,                 1.8162,                   1.71,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5505,                 1.7086,                 1.5946,                0.55197,                0.54953,                0.58589,                   0.27,                 1.7622,                 1.8557,                 1.7679,               0.000901,               0.000901,               0.000901
                     13,                 1.5194,                 1.6797,                 1.5647,                0.70164,                0.45657,                0.51721,                0.23127,                 1.7391,                 1.8219,                 1.7704,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5236,                  1.661,                 1.5697,                0.77666,                0.47219,                0.59024,                0.27823,                 1.6897,                  1.692,                 1.7191,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.519,                 1.6498,                 1.5686,                0.48754,                0.53647,                0.60846,                0.28655,                 1.6664,                 1.7041,                 1.6413,              0.0008713,              0.0008713,              0.0008713
